,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,2,"['Desler', 'Spierings']",Toulouse,2,2,Lille,"['Burlet', 'Ribeiro']",2
1,1,['Beka'],Nice,1,2,Lens,"['Medina', 'Gradit']",2
2,4,"['Balogin', 'Serhuis', 'Ito', 'Abdelhamid']",Reims,4,2,Troyes,"['Palaversa', 'Odobert']",2
3,1,['Maurer'],Clermont,1,2,Auxerre,"['Da_Costa', 'Bain']",2
4,1,['Pallois'],Nantes,1,1,Angers,['Capelle'],1
5,3,"['Lebas', ""N'Diaye"", 'Vidal']",Ajaccio,3,4,Brest,"['Tavares', 'Del_Castillo', 'Le_Douaron', 'Duverne']",4
6,1,['Bellegarde'],Strasbourg,1,3,Rennes,"['Rodon', 'Santamaria', 'Rodon']",3
7,1,['Messi'],PSG,1,3,OL,"['Bercola', 'Aouar', 'Bercola']",3
8,2,"['Wahi', 'Tchato']",Montpellier,2,3,OM,"['Kabore', 'Ounahi', 'Kabore']",3
9,1,['Le_Goff'],Lorient,1,1,AS Monaco,['Sibide'],1
