,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,1,['ChaÃ¯bi'],Toulouse,1,3,AS Monaco,"['Serrano', 'Sibide', 'Pele']",3
1,2,"['Gudmundsson', 'Andre']",Lille,2,1,Rennes,['Majer'],1
2,2,"['Mavididi', 'Sainte-Luce']",Montpellier,2,3,Angers,"['Corduan', 'Bamba', 'Sima']",3
3,1,['Sanson'],Strasbourg,1,4,OL,"['Lepenant', 'Tolisso', 'Lepenant', 'Gusto']",4
4,2,"['Messi', 'Kipembe']",PSG,2,2,Ajaccio,"['Silla', 'Alphonse']",2
5,2,"['Flips', 'Munetsi']",Reims,2,1,Clermont,['Bayo'],1
6,2,"['Chavalerin', 'Chavalerin']",Troyes,2,3,OM,"['Payet', 'Balerdi', 'Kabore']",3
7,1,['Le_Fee'],Lorient,1,2,Lens,"['Valencia', 'Fortes']",2
8,0,[],Auxerre,0,1,Brest,['Tavares'],1
9,3,"['Bryan', 'Attal', 'Beka']",Nice,3,1,Nantes,['Castelletto'],1
