,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,0,[],Angers,0,1,Nice,['Laborde'],1
1,1,['Massolin'],Clermont,1,3,Rennes,"['Wooh', 'Assignon', 'Terrier']",3
2,1,['Ponceau'],Lorient,1,3,Brest,"['Le_Douaron', 'Magnetti', 'Duverne']",3
3,2,"['Varane', 'Fortes']",Lens,2,2,OM,"['Harit', 'Payet']",2
4,0,[],OL,0,3,AS Monaco,"['Jakobs', 'Henrique', 'Aguilar']",3
5,4,"['Fonte', 'Gomes', 'Andre', 'David']",Lille,4,2,Strasbourg,"['Mothiba', 'Le_Marchand']",2
6,4,"['Ratao', 'Dallinga', 'Desler', 'Onaiwu']",Toulouse,4,2,Auxerre,"['Lipinski', 'Autret']",2
7,1,['Ganago'],Nantes,1,2,Ajaccio,"[""N'Diaye"", 'Alphonse']",2
8,1,['Kipembe'],PSG,1,3,Montpellier,"['Wahi', 'Sakho', 'Wahi']",3
9,0,[],Troyes,0,2,Reims,"['Cajuste', 'Serhuis']",2
