,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,3,"['Mendy', 'Mendy', 'Camara']",Angers,3,3,AS Monaco,"['Embolo', 'Serrano', 'Maripan']",3
1,4,"['Caqueret', 'Tolisso', 'Caqueret', 'Cherki']",OL,4,4,Clermont,"['Bayo', 'Massolin', 'Gastien', 'Wieteska']",4
2,4,"['Dugimont', 'Da_Costa', 'Lipinski', 'Jeanvier']",Auxerre,4,1,Montpellier,['Nordin'],1
3,0,[],Lens,0,3,Reims,"['Abdelhamid', 'Moalida', 'Moalida']",3
4,1,['Beka'],Nice,1,1,PSG,['Ramos'],1
5,3,"['Mollet', 'Pallois', 'Blas']",Nantes,3,3,Brest,"['Lemarechal', 'Le_Douaron', 'Brassier']",3
6,1,['Chavalerin'],Troyes,1,0,Strasbourg,[],0
7,3,"['Gonzalez', ""N'Diaye"", ""N'Diaye""]",Ajaccio,3,1,Lille,['Gudmundsson'],1
8,0,[],Lorient,0,0,Toulouse,[],0
9,2,"['Traore', 'Assignon']",Rennes,2,2,OM,"['Ounahi', 'Balerdi']",2
