,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,3,"['Silva', 'Silva', 'Le_Fee']",Lorient,3,1,AS Monaco,['Aguilar'],1
1,4,"['Savanier', 'Sainte-Luce', 'Nordin', 'Khazri']",Montpellier,4,2,Troyes,"['Chavalerin', 'Odobert']",2
2,2,"['Fortes', 'Le_Cardinal']",Lens,2,2,Clermont,"['Wieteska', 'Wieteska']",2
3,4,"['Camara', 'Bamba', 'Doumbia', 'Masson']",Angers,4,4,Nantes,"['Castelletto', 'Girotto', 'Girotto', 'Guessand']",4
4,1,['Jeanvier'],Auxerre,1,3,Reims,"['Serhuis', 'Munetsi', 'Serhuis']",3
5,0,[],PSG,0,2,Nice,"['Dante', 'Beka']",2
6,3,"['Lienard', 'Lienard', 'Sanson']",Strasbourg,3,2,Brest,"['Brassier', 'Duverne']",2
7,2,"['Majer', 'Terrier']",Rennes,2,1,Lille,['Martin'],1
8,2,"['Tagliafico', 'Tagliafico']",OL,2,2,Ajaccio,"['Vidal', 'Hamouma']",2
9,1,['Bailly'],OM,1,2,Toulouse,"['Dallinga', 'Onaiwu']",2
