,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,3,"['Serrano', 'Embolo', 'Henrique']",AS Monaco,3,2,Lille,"['Gudmundsson', 'Burlet']",2
1,2,"['Gusto', 'Sanchez']",OL,2,3,Angers,"['Masson', 'Doumbia', 'Capelle']",3
2,2,"['Onaiwu', 'Healey']",Toulouse,2,5,Troyes,"['Balde', 'Lopez', 'Palaversa', 'Ugbo', 'Balde']",5
3,1,['Bellegarde'],Strasbourg,1,1,Clermont,['Borges'],1
4,2,"['Khazri', 'Tchato']",Montpellier,2,3,OM,"['Rongier', 'Kabore', 'Clauss']",3
5,2,"['Santamaria', 'Kalimuendo']",Rennes,2,3,PSG,"['Kipembe', 'Sanches', 'Soler']",3
6,2,"['Tavares', 'Del_Castillo']",Brest,2,2,Lens,"['Varane', 'Medina']",2
7,3,"['Cajuste', 'Flips', 'Lopy']",Reims,3,3,Nantes,"['Coco', 'Simon', 'Blas']",3
8,2,"['Le_Goff', 'Matsima']",Lorient,2,2,Nice,"['Dante', 'Dante']",2
9,1,['Vidal'],Ajaccio,1,0,Auxerre,[],0
