,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,4,"['Magnetti', 'Magnetti', 'Duverne', 'Lemarechal']",Brest,4,2,Clermont,"['Boyer', 'Versini']",2
1,1,['Diallo'],Ajaccio,1,2,Nantes,"['Girotto', 'Delort']",2
2,2,"['Varane', 'Pereira']",Lens,2,3,OL,"['Lepenant', 'Tolisso', 'Gusto']",3
3,2,"['Moalida', 'Abdelhamid']",Reims,2,2,Auxerre,"['Bain', 'Merdji']",2
4,3,"['Sainte-Luce', 'Wahi', 'Khazri']",Montpellier,3,3,Nice,"['Bryan', 'Dante', 'Beka']",3
5,3,"['Martin', 'Burlet', 'Andre']",Lille,3,3,PSG,"['Ramos', 'Neymar', 'Ruiz']",3
6,3,"['Conte', 'Salmier', 'Conte']",Troyes,3,2,Rennes,"['Theate', 'Gouiri']",2
7,1,['Van_den_Boomen'],Toulouse,1,2,Angers,"['Masson', 'Sima']",2
8,2,"['H.Diallo', 'Lienard']",Strasbourg,2,3,AS Monaco,"['Serrano', 'Jakobs', 'Maripan']",3
9,1,['Payet'],OM,1,3,Lorient,"['Kroupi', 'Pelon', 'Ponceau']",3
