,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,3,"['Le_Fee', 'Pelon', 'Ponceau']",Lorient,3,1,Auxerre,['Autret'],1
1,0,[],Nantes,0,1,Montpellier,['Savanier'],1
2,2,"['Sanson', 'Gameiro']",Strasbourg,2,1,Clermont,['Borges'],1
3,3,"['Desler', 'Onaiwu', 'ChaÃ¯bi']",Toulouse,3,1,Reims,['Zeneli'],1
4,1,['Theate'],Rennes,1,2,Lille,"['Fonte', 'Fonte']",2
5,2,"['Attal', 'Moffi']",Nice,2,4,PSG,"['Mbappe', 'Messi', 'Messi', 'Soler']",4
6,1,['Elis'],Brest,1,1,Lens,['Gradit'],1
7,1,['Aguilar'],AS Monaco,1,2,Angers,"['Doumbia', 'Corduan']",2
8,2,"['Odobert', 'Chavalerin']",Troyes,2,2,OM,"['Bailly', 'Payet']",2
9,4,"['Roure', 'Gonzalez', 'Roure', 'Hamouma']",Ajaccio,4,2,OL,"['Lega', 'Tolisso']",2
