,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,2,"['Assignon', 'Kalimuendo']",Rennes,2,3,Strasbourg,"['Le_Marchand', 'Bellegarde', 'Bellegarde']",3
1,3,"['Maouassa', 'Khazri', 'Nordin']",Montpellier,3,2,Lorient,"['Kroupi', 'Ponceau']",2
2,2,"['Cabella', 'Ribeiro']",Lille,2,3,Nantes,"['Coco', 'Guessand', 'Delort']",3
3,2,"['Pepe', 'Dante']",Nice,2,2,Ajaccio,"['Diallo', 'Gonzalez']",2
4,2,"['Magnetti', 'Elis']",Brest,2,1,Lens,['Gradit'],1
5,1,['Healey'],Toulouse,1,2,Reims,"['Abdelhamid', 'Balogin']",2
6,3,"['Kipembe', 'Messi', 'Mbappe']",PSG,3,2,Auxerre,"['Bain', 'Lipinski']",2
7,2,"['Ben_Yedder', 'Maripan']",AS Monaco,2,3,Angers,"['Masson', 'Sima', 'Sima']",3
8,3,"['Lepenant', 'Tolisso', 'Tolisso']",OL,3,2,OM,"['Harit', 'Gigot']",2
9,1,['Boyer'],Clermont,1,2,Troyes,"['Salmier', 'Palaversa']",2
