,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,2,"['Tavares', 'Lemarechal']",Brest,2,0,Nice,[],0
1,2,"['Zeneli', 'Zeneli']",Reims,2,2,Troyes,"['Palaversa', 'Lopez']",2
2,0,[],Auxerre,0,3,Strasbourg,"['Le_Marchand', 'Sanson', 'Delaine']",3
3,4,"['Masson', 'Corduan', 'Camara', 'Mendy']",Angers,4,3,PSG,"['Messi', 'Mendes', 'Mendes']",3
4,3,"['Healey', 'Desler', 'Spierings']",Toulouse,3,1,Montpellier,['Tchato'],1
5,2,"['Gastien', 'Gastien']",Clermont,2,4,Lens,"['Varane', 'Gradit', 'Sylla', 'Sylla']",4
6,1,['Jakobs'],AS Monaco,1,1,OM,['Ounahi'],1
7,3,"['Gusto', 'Lepenant', 'Caqueret']",OL,3,2,Lorient,"['Matsima', 'Matsima']",2
8,3,"['Gouiri', 'Terrier', 'Terrier']",Rennes,3,1,Lille,['Andre'],1
9,3,"['Alphonse', 'Michelin', 'Alphonse']",Ajaccio,3,0,Nantes,[],0
