,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,3,"['Flips', 'Cajuste', 'Lopy']",Reims,3,2,AS Monaco,"['Jakobs', 'Embolo']",2
1,2,"['Hamouma', 'Silla']",Ajaccio,2,3,Rennes,"['Theate', 'Terrier', 'Santamaria']",3
2,2,"['Healey', 'ChaÃ¯bi']",Toulouse,2,3,Angers,"['Bamba', 'Doumbia', 'Corduan']",3
3,2,"['Sanches', 'Ramos']",PSG,2,2,Brest,"['Brassier', 'Duverne']",2
4,1,['Boura'],Lens,1,1,Montpellier,['Khazri'],1
5,2,"['Lega', 'Aouar']",OL,2,0,Nantes,[],0
6,4,"['Kroupi', 'Kroupi', 'Talbi', 'Matsima']",Lorient,4,2,Strasbourg,"['Le_Marchand', 'Le_Marchand']",2
7,2,"['Bain', 'Merdji']",Auxerre,2,1,Lille,['Martin'],1
8,2,"['Attal', 'Moffi']",Nice,2,2,OM,"['Kabore', 'Ounahi']",2
9,1,['Versini'],Clermont,1,2,Troyes,"['Chavalerin', 'Salmier']",2
