,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,1,['Sanson'],Strasbourg,1,3,Ajaccio,"['Vidal', 'Alphonse', 'Silla']",3
1,2,"['Alioui', 'Camara']",Angers,2,2,Troyes,"['Palaversa', 'Ripart']",2
2,3,"['Pele', 'Aguilar', 'Aguilar']",AS Monaco,3,3,Auxerre,"['Dembele', 'Dembele', 'Pellenard']",3
3,3,"['Kipembe', 'Ramos', 'Soler']",PSG,3,2,Nantes,"['Simon', 'Ganago']",2
4,1,['Brassier'],Brest,1,2,Lille,"['Burlet', 'Gomes']",2
5,0,[],Nice,0,4,Rennes,"['Kalimuendo', 'Majer', 'Gouiri', 'Assignon']",4
6,3,"['Sakho', 'Maouassa', 'Nordin']",Montpellier,3,1,OM,['Harit'],1
7,2,"['ChaÃ¯bi', 'Dejaegere']",Toulouse,2,1,Lorient,['Innocent'],1
8,2,"['Boyer', 'Rajot']",Clermont,2,2,Reims,"['Zeneli', 'Flips']",2
9,1,['Medina'],Lens,1,4,OL,"['Lega', 'Lepenant', 'Lega', 'Tagliafico']",4
