,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,1,['Versini'],Clermont,1,2,Nantes,"['Ganago', 'Simon']",2
1,1,['Merdji'],Auxerre,1,2,Nice,"['Brahimi', 'Beka']",2
2,1,['Gigot'],OM,1,3,Ajaccio,"['Vidal', 'Gonzalez', 'Gonzalez']",3
3,3,"['Bamba', 'Bamba', 'Bamba']",Angers,3,2,AS Monaco,"['Embolo', 'Serrano']",2
4,2,"['Messi', 'Mendes']",PSG,2,2,OL,"['Cherki', 'Aouar']",2
5,0,[],Strasbourg,0,1,Montpellier,['Sainte-Luce'],1
6,1,['Lopez'],Troyes,1,1,Reims,['Ito'],1
7,2,"['Gomes', 'David']",Lille,2,2,Lens,"['Fortes', 'Fortes']",2
8,2,"['Aboukhlal', 'Onaiwu']",Toulouse,2,2,Lorient,"['Le_Goff', 'Laporte']",2
9,2,"['Magnetti', 'Lemarechal']",Brest,2,1,Rennes,['Rodon'],1
