,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,2,"['Balerdi', 'Bailly']",OM,2,0,AS Monaco,[],0
1,4,"['Delaine', 'Bellegarde', 'Le_Marchand', 'Gameiro']",Strasbourg,4,3,Nantes,"['Coco', 'Pallois', 'Castelletto']",3
2,1,['Doumbia'],Angers,1,1,Lille,['Andre'],1
3,3,"['Ito', 'Cajuste', 'Abdelhamid']",Reims,3,1,Troyes,['Ugbo'],1
4,2,"['Germain', 'Savanier']",Montpellier,2,2,Rennes,"['Traore', 'Wooh']",2
5,1,['Chardonnet'],Brest,1,2,Auxerre,"['Pellenard', 'Dugimont']",2
6,1,['Aouar'],OL,1,2,PSG,"['Sanches', 'Ruiz']",2
7,3,"['Le_Fee', 'Silva', 'Laporte']",Lorient,3,2,Lens,"['Valencia', 'Fortes']",2
8,3,"['Diop', 'Diop', 'Laborde']",Nice,3,1,Ajaccio,['Michelin'],1
9,4,"['Healey', 'Aboukhlal', 'Aboukhlal', 'Dejaegere']",Toulouse,4,3,Clermont,"['Borges', 'Massolin', 'Cisse']",3
