,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,1,['Doumbia'],Angers,1,2,Rennes,"['Majer', 'Gouiri']",2
1,0,[],AS Monaco,0,2,Lorient,"['Ponceau', 'Kroupi']",2
2,4,"['Lega', 'Sanchez', 'Tagliafico', 'Caqueret']",OL,4,0,Nice,[],0
3,2,"['Lebas', 'Hamouma']",Ajaccio,2,1,Brest,['Magnetti'],1
4,3,"['Mavididi', 'Sainte-Luce', 'Germain']",Montpellier,3,2,OM,"['Gigot', 'Balerdi']",2
5,1,['Pereira'],Lens,1,2,PSG,"['Sanches', 'Neymar']",2
6,1,['Rajot'],Clermont,1,2,Lille,"['Gudmundsson', 'Gomes']",2
7,3,"['Merdji', 'Lipinski', 'Lipinski']",Auxerre,3,2,Toulouse,"['Onaiwu', 'Van_den_Boomen']",2
8,2,"['Lopy', 'Balogin']",Reims,2,1,Strasbourg,['Djiku'],1
9,3,"['Odobert', 'Ugbo', 'Porozo']",Troyes,3,1,Nantes,['Girotto'],1
