,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,2,"['Harit', 'Lopez']",OM,2,2,Brest,"['Del_Castillo', 'Del_Castillo']",2
1,1,['Diop'],Nice,1,3,Lorient,"['Pelon', 'Le_Fee', 'Silva']",3
2,3,"['Pallois', 'Pallois', 'Ganago']",Nantes,3,2,Lille,"['David', 'Yoro']",2
3,2,"['Traore', 'Assignon']",Rennes,2,3,Toulouse,"['Van_den_Boomen', 'Desler', 'Ratao']",3
4,3,"['Michelin', 'Alphonse', ""N'Diaye""]",Ajaccio,3,2,Reims,"['Abdelhamid', 'Serhuis']",2
5,3,"['Merdji', 'Dugimont', 'Autret']",Auxerre,3,1,AS Monaco,['Jakobs'],1
6,2,"['Versini', 'Rajot']",Clermont,2,1,Strasbourg,['Delaine'],1
7,3,"['Khazri', 'Nordin', 'Tchato']",Montpellier,3,2,PSG,"['Kipembe', 'Verrati']",2
8,1,['Camara'],Angers,1,3,OL,"['Gusto', 'Bercola', 'Cherki']",3
9,2,"['Le_Cardinal', 'Sylla']",Lens,2,3,Troyes,"['Ugbo', 'Salmier', 'Ugbo']",3
