,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,3,"['Guessand', 'Blas', 'Blas']",Nantes,3,2,Clermont,"['Rajot', 'Rajot']",2
1,3,"['Dante', 'Beka', 'Pepe']",Nice,3,2,Lens,"['Gradit', 'Boura']",2
2,2,"['Balerdi', 'Harit']",OM,2,2,OL,"['Lega', 'Lepenant']",2
3,3,"['Moalida', 'Lopy', 'Zeneli']",Reims,3,3,PSG,"['Mbappe', 'Ruiz', 'Sanches']",3
4,3,"['Embolo', 'Jakobs', 'Aguilar']",AS Monaco,3,1,Angers,['Sima'],1
5,2,"['Onaiwu', 'ChaÃ¯bi']",Toulouse,2,2,Strasbourg,"['Sanson', 'Sanson']",2
6,1,['Brassier'],Brest,1,3,Troyes,"['Ugbo', 'Ripart', 'Chavalerin']",3
7,1,['Rodon'],Rennes,1,0,Lorient,[],0
8,2,"['Khazri', 'Maouassa']",Montpellier,2,3,Ajaccio,"['Hamouma', 'Silla', 'Gonzalez']",3
9,1,['Andre'],Lille,1,1,Auxerre,['Jeanvier'],1
