,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,2,"['Clauss', 'Ounahi']",OM,2,3,Troyes,"['Ugbo', 'Ripart', 'Lopez']",3
1,2,"['Innocent', 'Laporte']",Lorient,2,1,OL,['Caqueret'],1
2,3,"['Pereira', 'Le_Cardinal', 'Pereira']",Lens,3,2,Nantes,"['Guessand', 'Guessand']",2
3,0,[],Rennes,0,0,Brest,[],0
4,2,"['Ben_Yedder', 'Jakobs']",AS Monaco,2,2,Reims,"['Moalida', 'Balogin']",2
5,0,[],Lille,0,3,Strasbourg,"['Mothiba', 'Sanson', 'Lienard']",3
6,1,['Merdji'],Auxerre,1,3,Clermont,"['Rajot', 'Borges', 'Boyer']",3
7,4,"['Brahimi', 'Brahimi', 'Beka', 'Bryan']",Nice,4,1,Ajaccio,['Gonzalez'],1
8,3,"['Soler', 'Verrati', 'Messi']",PSG,3,0,Toulouse,[],0
9,3,"['Khazri', 'Germain', 'Sakho']",Montpellier,3,2,Angers,"['Mendy', 'Alioui']",2
