,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,3,"['Verrati', 'Messi', 'Soler']",PSG,3,2,Brest,"['Brassier', 'Le_Douaron']",2
1,2,"['Gomes', 'Andre']",Lille,2,1,Auxerre,['Merdji'],1
2,2,"[""N'Diaye"", 'Silla']",Ajaccio,2,1,Reims,['Cajuste'],1
3,4,"['Lega', 'Aouar', 'Cherki', 'Cherki']",OL,4,1,Clermont,['Massolin'],1
4,1,['Dejaegere'],Toulouse,1,1,OM,['Ounahi'],1
5,2,"['Wahi', 'Germain']",Montpellier,2,3,AS Monaco,"['Jakobs', 'Jakobs', 'Embolo']",3
6,2,"['Masson', 'Bamba']",Angers,2,0,Nice,[],0
7,2,"['Delort', 'Girotto']",Nantes,2,2,Troyes,"['Chavalerin', 'Chavalerin']",2
8,2,"['Valencia', 'Le_Cardinal']",Lens,2,1,Lorient,['Talbi'],1
9,1,['Le_Marchand'],Strasbourg,1,2,Rennes,"['Terrier', 'Kalimuendo']",2
