,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,3,"['Lemarechal', 'Duverne', 'Brassier']",Brest,3,3,Ajaccio,"[""N'Diaye"", 'Gonzalez', 'Lebas']",3
1,3,"['Doumbia', 'Masson', 'Doumbia']",Angers,3,3,Montpellier,"['Nordin', 'Savanier', 'Savanier']",3
2,1,['Balerdi'],OM,1,1,Lorient,['Pelon'],1
3,4,"['Van_den_Boomen', 'Dejaegere', 'Onaiwu', 'Onaiwu']",Toulouse,4,2,Lille,"['Andre', 'Gomes']",2
4,2,"['Massolin', 'Maurer']",Clermont,2,3,Auxerre,"['Autret', 'Jeanvier', 'Dembele']",3
5,2,"['Moalida', 'Ito']",Reims,2,1,Lens,['Valencia'],1
6,4,"['Le_Marchand', 'Delaine', 'Gameiro', 'Bellegarde']",Strasbourg,4,2,OL,"['Lega', 'Tolisso']",2
7,1,['Kalimuendo'],Rennes,1,2,Troyes,"['Porozo', 'Lopez']",2
8,1,['Jakobs'],AS Monaco,1,2,Nice,"['Attal', 'Dante']",2
9,3,"['Guessand', 'Delort', 'Girotto']",Nantes,3,3,PSG,"['Ramos', 'Messi', 'Ruiz']",3
