,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,2,"['Laporte', 'Talbi']",Lorient,2,2,Lens,"['Pereira', 'Le_Cardinal']",2
1,2,"['Lepenant', 'Sanchez']",OL,2,2,PSG,"['Kipembe', 'Soler']",2
2,2,"['Autret', 'Merdji']",Auxerre,2,2,Troyes,"['Odobert', 'Odobert']",2
3,3,"['Moalida', 'Munetsi', 'Serhuis']",Reims,3,1,AS Monaco,['Ben_Yedder'],1
4,1,['Hamouma'],Ajaccio,1,3,OM,"['Harit', 'Gigot', 'Kabore']",3
5,2,"['Maouassa', 'Maouassa']",Montpellier,2,3,Brest,"['Brassier', 'Duverne', 'Tavares']",3
6,3,"['Fonte', 'Andre', 'Martin']",Lille,3,4,Nice,"['Attal', 'Moffi', 'Beka', 'Moffi']",4
7,2,"['Mollet', 'Castelletto']",Nantes,2,2,Rennes,"['Theate', 'Wooh']",2
8,3,"['Wieteska', 'Borges', 'Bayo']",Clermont,3,4,Strasbourg,"['Bellegarde', 'Delaine', 'Gameiro', 'Gameiro']",4
9,1,['Mendy'],Angers,1,3,Toulouse,"['Van_den_Boomen', 'ChaÃ¯bi', 'Van_den_Boomen']",3
