,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,1,['Roure'],Ajaccio,1,5,Nantes,"['Blas', 'Delort', 'Girotto', 'Ganago', 'Guessand']",5
1,3,"['Serrano', 'Ben_Seguir', 'Embolo']",AS Monaco,3,2,Strasbourg,"['Sanson', 'Sanson']",2
2,1,['Caqueret'],OL,1,2,OM,"['Lopez', 'Rongier']",2
3,0,[],Reims,0,3,Clermont,"['Boyer', 'Bayo', 'Massolin']",3
4,0,[],Toulouse,0,5,Auxerre,"['Pellenard', 'Danois', 'Dembele', 'Jeanvier', 'Merdji']",5
5,1,['Ramos'],PSG,1,3,Rennes,"['Traore', 'Terrier', 'Assignon']",3
6,1,['Ribeiro'],Lille,1,2,Troyes,"['Ugbo', 'Palaversa']",2
7,2,"['Wahi', 'Tchato']",Montpellier,2,0,Lens,[],0
8,1,['Le_Goff'],Lorient,1,2,Angers,"['Guillaume', 'Sima']",2
9,2,"['Beka', 'Moffi']",Nice,2,1,Brest,['Le_Douaron'],1
