,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,1,['Roure'],Ajaccio,1,1,Clermont,['Rajot'],1
1,2,"['Le_Marchand', 'Lienard']",Strasbourg,2,1,Montpellier,['Tchato'],1
2,2,"['Ripart', 'Chavalerin']",Troyes,2,2,OM,"['Balerdi', 'Bailly']",2
3,2,"['Beka', 'Brahimi']",Nice,2,1,AS Monaco,['Jakobs'],1
4,2,"['Masson', 'Guillaume']",Angers,2,2,Auxerre,"['Bain', 'Dembele']",2
5,3,"['Fortes', 'Medina', 'Valencia']",Lens,3,3,Reims,"['Munetsi', 'Lopy', 'Abdelhamid']",3
6,1,['Aboukhlal'],Toulouse,1,0,Lorient,[],0
7,2,"['Castelletto', 'Coco']",Nantes,2,2,OL,"['Gusto', 'Caqueret']",2
8,2,"['Santamaria', 'Wooh']",Rennes,2,2,PSG,"['Ramos', 'Soler']",2
9,3,"['Gomes', 'Cabella', 'David']",Lille,3,2,Brest,"['Brassier', 'Le_Douaron']",2
