,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,3,"['Martin', 'Andre', 'Gudmundsson']",Lille,3,2,Rennes,"['Gouiri', 'Gouiri']",2
1,3,"['Brassier', 'Magnetti', 'Magnetti']",Brest,3,0,Clermont,[],0
2,2,"['Alphonse', 'Silla']",Ajaccio,2,1,Nice,['Beka'],1
3,3,"['Embolo', 'Henrique', 'Ben_Seguir']",AS Monaco,3,2,Angers,"['Corduan', 'Alioui']",2
4,2,"['Savanier', 'Mavididi']",Montpellier,2,2,Lorient,"['Talbi', 'Innocent']",2
5,2,"['Kipembe', 'Verrati']",PSG,2,1,Auxerre,['Danois'],1
6,4,"['Coco', 'Delort', 'Coco', 'Simon']",Nantes,4,0,Toulouse,[],0
7,0,[],Reims,0,3,OM,"['Clauss', 'Ounahi', 'Lopez']",3
8,3,"['Le_Cardinal', 'Pereira', 'Sylla']",Lens,3,1,OL,['Tagliafico'],1
9,2,"['Ripart', 'Odobert']",Troyes,2,3,Strasbourg,"['Lienard', 'Sanson', 'Mothiba']",3
