,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,2,"['Andre', 'Burlet']",Lille,2,2,PSG,"['Kipembe', 'Sanches']",2
1,3,"['Guessand', 'Pallois', 'Ganago']",Nantes,3,2,Troyes,"['Salmier', 'Salmier']",2
2,2,"['Maouassa', 'Germain']",Montpellier,2,2,Lens,"['Boura', 'Le_Cardinal']",2
3,1,['Aboukhlal'],Toulouse,1,1,Strasbourg,['Bellegarde'],1
4,2,"['Le_Fee', 'Le_Goff']",Lorient,2,1,Angers,['Masson'],1
5,3,"['Serrano', 'Jakobs', 'Serrano']",AS Monaco,3,2,OM,"['Balerdi', 'Bailly']",2
6,1,['Gonzalez'],Ajaccio,1,1,Rennes,['Assignon'],1
7,1,['Elis'],Brest,1,2,Auxerre,"['Danois', 'Da_Costa']",2
8,2,"['Cherki', 'Gusto']",OL,2,0,Nice,[],0
9,3,"['Munetsi', 'Zeneli', 'Zeneli']",Reims,3,2,Clermont,"['Gastien', 'Bayo']",2
