,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,1,['Bryan'],Nice,1,2,Angers,"['Mendy', 'Alioui']",2
1,2,"['Van_den_Boomen', 'Healey']",Toulouse,2,5,PSG,"['Kipembe', 'Mbappe', 'Ruiz', 'Ruiz', 'Soler']",5
2,2,"['David', 'Gomes']",Lille,2,2,Nantes,"['Delort', 'Delort']",2
3,1,['Hamouma'],Ajaccio,1,4,Troyes,"['Balde', 'Salmier', 'Conte', 'Ripart']",4
4,1,['Kalimuendo'],Rennes,1,2,AS Monaco,"['Serrano', 'Embolo']",2
5,2,"['Jeanvier', 'Da_Costa']",Auxerre,2,2,Brest,"['Chardonnet', 'Del_Castillo']",2
6,0,[],Reims,0,2,Montpellier,"['Savanier', 'Savanier']",2
7,2,"['H.Diallo', 'Gameiro']",Strasbourg,2,1,Lens,['Pereira'],1
8,1,['Laporte'],Lorient,1,2,OM,"['Rongier', 'Ounahi']",2
9,2,"['Bayo', 'Borges']",Clermont,2,2,OL,"['Gusto', 'Sanchez']",2
