,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,0,[],Nice,0,3,Lorient,"['Laporte', 'Matsima', 'Kroupi']",3
1,2,"['Hamouma', 'Lebas']",Ajaccio,2,1,Montpellier,['Savanier'],1
2,0,[],Troyes,0,2,Clermont,"['Rajot', 'Massolin']",2
3,2,"['Ribeiro', 'Burlet']",Lille,2,2,OL,"['Sanchez', 'Bercola']",2
4,2,"['Brassier', 'Elis']",Brest,2,3,Angers,"['Corduan', 'Camara', 'Doumbia']",3
5,3,"['Van_den_Boomen', 'Dallinga', 'Dallinga']",Toulouse,3,1,PSG,['Soler'],1
6,2,"['Embolo', 'Maripan']",AS Monaco,2,1,Reims,['Lopy'],1
7,3,"['Castelletto', 'Ganago', 'Girotto']",Nantes,3,2,Strasbourg,"['Delaine', 'H.Diallo']",2
8,1,['Terrier'],Rennes,1,1,OM,['Balerdi'],1
9,2,"['Dugimont', 'Dembele']",Auxerre,2,3,Lens,"['Fortes', 'Fortes', 'Fortes']",3
