,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,2,"['Theate', 'Wooh']",Rennes,2,4,Clermont,"['Cisse', 'Versini', 'Versini', 'Boyer']",4
1,1,['Ratao'],Toulouse,1,2,Montpellier,"['Wahi', 'Mavididi']",2
2,1,['Bain'],Auxerre,1,1,Nice,['Moffi'],1
3,4,"['Lemarechal', 'Chardonnet', 'Duverne', 'Tavares']",Brest,4,4,Lens,"['Ganiou', 'Le_Cardinal', 'Sylla', 'Sylla']",4
4,2,"['Yoro', 'Yoro']",Lille,2,2,Nantes,"['Castelletto', 'Pallois']",2
5,1,['Lega'],OL,1,2,Troyes,"['Lopez', 'Porozo']",2
6,3,"['Moalida', 'Flips', 'Abdelhamid']",Reims,3,1,Lorient,['Silva'],1
7,2,"['Sibide', 'Aguilar']",AS Monaco,2,3,OM,"['Payet', 'Kabore', 'Kabore']",3
8,3,"['Neymar', 'Mbappe', 'Ruiz']",PSG,3,2,Ajaccio,"['Silla', 'Lebas']",2
9,2,"['Sima', 'Alioui']",Angers,2,2,Strasbourg,"['Mothiba', 'Mothiba']",2
