,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,2,"['Michelin', 'Lebas']",Ajaccio,2,1,Montpellier,['Maouassa'],1
1,3,"['Gouiri', 'Assignon', 'Wooh']",Rennes,3,3,OL,"['Tolisso', 'Gusto', 'Lega']",3
2,1,['Henrique'],AS Monaco,1,1,Clermont,['Bayo'],1
3,0,[],Lens,0,3,Angers,"['Doumbia', 'Corduan', 'Camara']",3
4,2,"['Ratao', 'Dallinga']",Toulouse,2,2,Lille,"['Cabella', 'Burlet']",2
5,1,['Ounahi'],OM,1,1,Brest,['Brassier'],1
6,3,"['Ramos', 'Verrati', 'Ruiz']",PSG,3,1,Strasbourg,['Le_Marchand'],1
7,2,"['Danois', 'Danois']",Auxerre,2,2,Lorient,"['Silva', 'Kroupi']",2
8,2,"['Ito', 'Serhuis']",Reims,2,1,Nantes,['Blas'],1
9,3,"['Salmier', 'Salmier', 'Balde']",Troyes,3,4,Nice,"['Beka', 'Beka', 'Pepe', 'Brahimi']",4
