,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,2,"['Palaversa', 'Ugbo']",Troyes,2,1,Toulouse,['Healey'],1
1,0,[],Nice,0,2,Reims,"['Moalida', 'Balogin']",2
2,1,['Gameiro'],Strasbourg,1,3,OM,"['Gigot', 'Balerdi', 'Harit']",3
3,2,"['Sylla', 'Ganiou']",Lens,2,0,Brest,[],0
4,2,"['Mbappe', 'Messi']",PSG,2,3,Clermont,"['Gastien', 'Borges', 'Rajot']",3
5,3,"['Ganago', 'Coco', 'Castelletto']",Nantes,3,2,AS Monaco,"['Sibide', 'Ben_Seguir']",2
6,3,"['Lega', 'Lepenant', 'Sanchez']",OL,3,1,Auxerre,['Jeanvier'],1
7,2,"['Le_Fee', 'Le_Goff']",Lorient,2,2,Montpellier,"['Tchato', 'Nordin']",2
8,1,['Gouiri'],Rennes,1,2,Ajaccio,"['Roure', 'Gonzalez']",2
9,2,"['Andre', 'Andre']",Lille,2,2,Angers,"['Guillaume', 'Camara']",2
