,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,2,"['Verrati', 'Kipembe']",PSG,2,1,Reims,['Abdelhamid'],1
1,3,"['Gastien', 'Wieteska', 'Rajot']",Clermont,3,3,OL,"['Caqueret', 'Lepenant', 'Lega']",3
2,1,['Sibide'],AS Monaco,1,0,Nice,[],0
3,2,"['Rodon', 'Theate']",Rennes,2,2,Strasbourg,"['Perrin', 'H.Diallo']",2
4,3,"['Harit', 'Lopez', 'Clauss']",OM,3,3,Nantes,"['Castelletto', 'Girotto', 'Delort']",3
5,2,"['Chardonnet', 'Chardonnet']",Brest,2,2,Lens,"['Ganiou', 'Medina']",2
6,3,"['Sima', 'Corduan', 'Mendy']",Angers,3,2,Ajaccio,"['Vidal', 'Roure']",2
7,3,"['Ponceau', 'Talbi', 'Kroupi']",Lorient,3,2,Troyes,"['Salmier', 'Palaversa']",2
8,1,['Desler'],Toulouse,1,2,Auxerre,"['Dembele', 'Da_Costa']",2
9,2,"['Andre', 'Andre']",Lille,2,2,Montpellier,"['Sainte-Luce', 'Mavididi']",2
