,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,1,['Caqueret'],OL,1,3,Montpellier,"['Khazri', 'Savanier', 'Sainte-Luce']",3
1,2,"['Balerdi', 'Rongier']",OM,2,2,Reims,"['Cajuste', 'Munetsi']",2
2,1,['Brassier'],Brest,1,2,Troyes,"['Palaversa', 'Odobert']",2
3,1,['Bryan'],Nice,1,2,Lille,"['Yoro', 'Martin']",2
4,2,"['Innocent', 'Talbi']",Lorient,2,3,Angers,"['Capelle', 'Alioui', 'Capelle']",3
5,3,"['Ganago', 'Castelletto', 'Girotto']",Nantes,3,1,AS Monaco,['Henrique'],1
6,1,['Borges'],Clermont,1,3,Ajaccio,"['Alphonse', 'Silla', 'Lebas']",3
7,1,['Majer'],Rennes,1,1,Strasbourg,['Lienard'],1
8,3,"['Spierings', 'Van_den_Boomen', 'ChaÃ¯bi']",Toulouse,3,2,Auxerre,"['Merdji', 'Dembele']",2
9,2,"['Sylla', 'Gradit']",Lens,2,2,PSG,"['Ruiz', 'Verrati']",2
