,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,1,['Harit'],OM,1,1,Lille,['Andre'],1
1,2,"['Talbi', 'Matsima']",Lorient,2,0,Angers,[],0
2,1,['Gonzalez'],Ajaccio,1,0,PSG,[],0
3,2,"['Da_Costa', 'Da_Costa']",Auxerre,2,0,OL,[],0
4,3,"['ChaÃ¯bi', 'Onaiwu', 'Dallinga']",Toulouse,3,2,Strasbourg,"['Mothiba', 'Perrin']",2
5,2,"['Munetsi', 'Cajuste']",Reims,2,1,Rennes,['Wooh'],1
6,4,"['Sainte-Luce', 'Sainte-Luce', 'Wahi', 'Maouassa']",Montpellier,4,2,Nantes,"['Mollet', 'Simon']",2
7,2,"['Pereira', 'Gradit']",Lens,2,3,Troyes,"['Salmier', 'Palaversa', 'Chavalerin']",3
8,3,"['Moffi', 'Dante', 'Moffi']",Nice,3,2,Brest,"['Brassier', 'Tavares']",2
9,2,"['Wieteska', 'Boyer']",Clermont,2,1,AS Monaco,['Embolo'],1
