,Points dom,Buteurs dom,Clubs à domicile,Buts dom,Buts exté,Clubs à l'extérieur,Buteurs exté,Points exté
0,2,"['Bain', 'Pellenard']",Auxerre,2,0,Strasbourg,[],0
1,3,"['Dallinga', 'Dallinga', 'ChaÃ¯bi']",Toulouse,3,2,AS Monaco,"['Aguilar', 'Jakobs']",2
2,2,"['Neymar', 'Mendes']",PSG,2,2,Troyes,"['Lopez', 'Chavalerin']",2
3,1,['Ponceau'],Lorient,1,2,Reims,"['Moalida', 'Moalida']",2
4,1,['Coco'],Nantes,1,2,OL,"['Lepenant', 'Tolisso']",2
5,2,"['Mendy', 'Masson']",Angers,2,3,OM,"['Ounahi', 'Lopez', 'Kabore']",3
6,2,"['Medina', 'Boura']",Lens,2,2,Brest,"['Lemarechal', 'Chardonnet']",2
7,1,['Kalimuendo'],Rennes,1,1,Nice,['Moffi'],1
8,1,['Maurer'],Clermont,1,5,Montpellier,"['Maouassa', 'Savanier', 'Maouassa', 'Germain', 'Sainte-Luce']",5
9,4,"['Andre', 'Gomes', 'Martin', 'Gudmundsson']",Lille,4,3,Ajaccio,"['Gonzalez', 'Gonzalez', 'Michelin']",3
